ID,Ojibwe Word,Word Class,English Translation
585,awashtoyaa,na,blacksmith; pi awashtoyaag; also awishtoyaa
586,awasi-,pn,"beyond, over across"
587,awasishkode,pc,"beyond the fire, over across the fire awas-niibinong />t summer before last"
588,awasonaago,pc,day before yesterday awas-waabang/K day after tomorrow awas-ziigwanongpc spring before last
593,awi',vta,lend (s.t.) to s.o.; Isg indawi'aa; prt ewi'aad
594,awi'iwe,vai,"lend (s.t.) to people, rent (s.t.) to people; Isg indawi'iwe; prt ewi'iwed awiya pr somebody animate indefinite;, anybody animate indefinite; also awiiya aya'aapr a being, someone, I don't remember who"
598,ayaangodinong,pc,"sometimes, occasionally; also aangodinong"
602,ayeko',vta,make s.o. tired; Isg indayeko'aa; prt eyeko'aad
604,ayekwamanji'o,vai,"feel tired; Isg indayekwamanji'; prt eyekwamanji'od ayi'ii pr thing, something, I don't remember what ayindan= < dan= ayindap= < dap= ayindas= < das= ayindash= < dash= ayindazh= < dazh= ayindaa= < daa= ayindood= < dood="
609,azhashkiiwizide,vai,have muddy feet; Isg indazhashkiiwizide; prt ezhashkiiwizided azhe- pv4 go back azhebidoon vli2 pull s.t. back; Isg indazhebidoon; prt ezhebidood azhebizh /azhebiN-/ vta pull s.o. back; Isg indazhebinaa; prt ezhebinaad
611,azheboyaanaak,ni,oar; pi azheboyaanaakoon; loc azheboyaanaakong; dim azheboyaanaakoons
612,azheboye,vai,row (a boat); Isg indazheboye; pn ezheboyed
615,azhe'o,vai,paddle backwards; Isg indazhe'; prt ezhe'od
618,azhenamaage,vai,"return (s.t.) to people; Isg indazhenamaage; prt ezhenamaaged azhenan mi return s.t., take s.t. back, hand s.t. back; Isg indazhenaan; prt ezhenang"
619,azheshkaa,vai,go backwards; Isg indazheshkaa; pn ezheshkaad
620,azhetaa,vai,"go backwards, back up; Isg indazhetaa; pn ezhetaad"
622,azhigwa,pc,"now, at this time, already, then; also zhigwa, zhigo"
625,aaba'amaw,vta,"undo (s.t.) for s.o., untie (s.t.) for s.o.; Isg indaaba'amawaa; pn ayaaba'amawaad"
626,aaba'an,vti,"undo s.t., untie s.t.; Isg indaaba'aan; prt ayaaba'ang"
627,aaba'igaade,vii,"be undone, be untied; pn ayaaba'igaadeg; aug aaba'igaademagad; prt aug ayaaba'igaademagak"
628,aaba'igaazo,vai,"be undone, be untied; pn ayaaba'igaazod"
629,aaba'oodoo,vai,untie wild rice; Isg indaaba'oodoo; prt ayaaba'oodood
