powhatan_word,english_translation,word_class,source,license,orthography,notes,audio_url
perervimuw,Angry,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
aamowk,Angle,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
maracah,Apple,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
asqweowan,Arrow,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
mese,Arme,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
meascoh,Armes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
kensekit,Arse,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
pungwe,Ashes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
ariqwossac,Aunts,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
aumaumer,Awake,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
rarascaū,Aire,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
fier,Boketawh,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
a girdle,Bagwanchy basson,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
fill the pipe with tobacco,Bmseran apook,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
porasap vttamancoch,A bag,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cuttoundg,To bark,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
ohtamocan,A barrell,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
matawiowijh,A batchellor,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
aitowh,A ball,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
paatchkiscaw,Bald,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
momonsacqweo,A beare,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
maucaqwins,A bell,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
peccatoas,Beanes,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
weihsatonowans,A beard,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"cawwaivwh, petaocawin",A bed,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"auntemdun, nooueshetun",To beat out with a cudgell,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vshvccohomen,To beat corn into meale,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vtssetecuttawsew,To beat any iron to an edge,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
accongaivwh,To bend,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
sansaqivawwh,Not to bend,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vtcharund,Before,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
taangoqwaÿk,Behind,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
nousomon,Below,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vtshemaijn,Beneath,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cultassamais,A beggar,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
wingutscaho,Better,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"tshehip, tshetcheindg",A bird,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cawahcheims,A small bird or chicken,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
ahshowcutteis,A bird with carnation-coloured wings,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
monahamshaw,"A bird like a lapwing, collour grey, which useth the water",n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
osasianticus,A bird called a Divedapper,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
mehkewh,The bill or beak,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"amin, nussacun",To bite,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vsqwausum,A bitch,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
mahcatawaiuwh,Black,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
osaih,Blew,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
nepotatamen,To blow any thing,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vnetagwushomon,Blew beades,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
accoondews,"Blew berries of the bignes of grapes, very pleasant",n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
wijhwaivwh,Blunt,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
neihpunsannvwh,To make any thing blunt,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
taccahooc,Block,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
nehpaangunnū,Bluid,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
auhtab,A bow,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
aupeis,A bowstring,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
acomtan,A boat,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
poheewh,A bottle,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
cutsotahwooc,A bourd,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
potopotawh tawh,To boyle up,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
vscapess,A boy,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
assowpook,A box in which they play at a certain kynd of game,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
"okisher, okinsher",The bob of the gynny wheat without corne,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
appoans,Bread,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
taccaho appoans,Bread made of a woat called,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
qwunnumsc,A braser,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
metucs,A bridge,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
apetawh poan,To broyle or toast bread,n/a,Smith (1624) & Strachey (1612),Public Domain,Historical Colonial,Bulk ingested,
